Topic Question
__label__society "In digital age newspaper still induce role society"
__label__miscellaneous "Seat humour ever serious"
__label__history "Be Chronicle anything study warfare"
__label__language_and_writing "Embody note value preserving minority languages world"
__label__family_marriage_youth "Tiddler society dupe parents ambitions Discuss"
__label__society "Political leaders disregard public opinion How far fit statement"
__label__sport "To extent sport achievement given fair middling recognition society"
__label__sport "The integrity game constitute everything Is true sports today"
__label__the_arts "The Humanistic discipline meet significant role society How far make jibe"
__label__history "Account holds us back rather spur us forward To extent true"
__label__technology "Suffice modern world position much trust technology"
__label__rights_injustices_and_fair_treatment "How far state experience rightfield monitor action law people within borders"
__label__business_and_economics "Businesses perpetually try maximise profits toll Is attitude still applicable today"
__label__medicine_medical_science_and_health "Should everyone expect donate suitable organ death"
__label__language_and_writing "The timber written language destroyed social media What sentiment"
__label__globalisation "In global hamlet inhabit point justification national boundaries How far make agree"
__label__religion "Can feeling supernatural sustain innovative world"
__label__business_and_economics "How far possible see producers food good moderately repay"
__label__advertising "Advertising encourages desire products people make reality need Discus"
__label__the_arts "The preservation culture overlooked art Saucer"
__label__society "Free people voice communication entails right offend provoke Cost fair comment"
__label__family_marriage_youth "The chase money necessarily results ungracious guild Discuss"
__label__science "Despite technological beaver state aesculapian advancements made throw non created better world mankind Cause agree"
__label__science "Scientific research health dieting unreliable thence ofttimes contradicts Is fair commentary"
__label__security_issues__terrorism_security_privacy "Given greater grade international cooperation necessary countries hire weapons system trade"
__label__singapore "The family suffered expense life history Singaporean social club Be fair comment"
__label__history "Historical records confutative based much perception fact Is fair gossip"
__label__reading_fiction__stories "Present pleasure meter reading compete pleasures visual entertainment To extent answer concord"
__label__energy_and_the_environment "Countries bear far greater extent urgent priority protect environment Do agree"
__label__sport "Are admit frisk seriously"
__label__leadership "The influential individuals story caused harm How far would consent aspect"
__label__science "Embody thither suit keeping animals zoos"
__label__energy_and_the_environment "The key managing environmental issues lie corporation How far hold instruction"
__label__work_and_life "The kinsfolk induce suffered expense life history Singaporean society Is fair comment"
__label__advertising "Advertisements oft entertaining rarely regard consumer alternative Is experience"
__label__religion "Can belief supernatural represent sustained innovative world"
__label__intervention_conflict_and_war "Does front alien index ever help nation problems"
__label__family_marriage_youth "Information technology greater extent difficult parent today Discuss"
__label__society "Leaders mustiness keep eyes greater extent present future Commentary"
__label__intervention_conflict_and_war "Essay extent expenditure arms armed forces justifiable forward looking world"
__label__religion "The scientific discipline advances religion turn To extent agree"
__label__miscellaneous "To extent citizenry judge strong arm appearance abilities"
__label__governance "Political science right hand interfere fellowship matters Saucer reference society"
__label__the_arts "For majority people Art follow irrelevant daily lives How rightful society"
__label__tourism_and_transportation "Can transport solid food brobdingnagian distances free"
__label__crime_and_punishment "Is crime result piteous administration"
__label__energy_and_the_environment "Can transport food complete vast space justified"
__label__geography "How far serve physical feature size location determine country progress"
__label__population_and_migration "Should countries encourage migration today"
__label__culture_and_traditions "Do myth fable still role play Singapore"
__label__business_and_economics "To extent income equation finish society"
__label__family_marriage_youth "Child society dupe parents ambitions Saucer"
__label__technology "To extent ingest engineering consume impingement privacy security country"
__label__technology "Does advanced engineering science always improve quality masses lives"
__label__economics "Science resolution global hungriness Discuss"
__label__medicine_medical_science_and_health "Consider perspective practice adequate responsibility well"
__label__reflective "Is place still place loyalty today"
__label__technology "Does modern world place much trust technology"
__label__history "Story holds us spinal column rather spurs us fore To extent rightful"
__label__miscellaneous "Do awards prizes answer utilitarian purpose"
__label__technology "To extent artificial intelligence supplant theatrical role humans"
__label__advertising "Advertisement encourages desire products people answer really need Discuss"
__label__geography "How far physical features size locating determine country south advancement"
__label__reflective "The reward risk infection To extent people rural area take peril"
__label__globalisation "How far dress agree purview one master problems world today deficiency unattackable leadership"
__label__family_marriage_youth "Information technology hard parent today Discuss"
__label__reflective "How far failure essential section success"
__label__medicine_medical_science_and_health "Increase aliveness expectancy constantly desirable goal Doctor osteopathy agree"
__label__reading_fiction__stories "Nowadays pleasure reading never compete pleasure visual amusement To extent correspond"
__label__energy_and_the_environment "Probe claim world well pendent oil"
__label__globalisation "Doe tragedy ever unite nation"
__label__economics "How far increased successfulness naturalistic goal society"
__label__reflective "Higher living standards cause people lose view important things life Ut agree"
__label__family_marriage_youth "At place never better time elderly society Discus"
__label__family_marriage_youth "Parenting today inconceivable task Bash agree"
__label__culture_and_traditions "Mode much good thing bad matter To extent agree"
__label__medicine_medical_science_and_health "Increasing life expectancy ever worthy goal Doctor osteopathy agree"
__label__intervention_conflict_and_war "Can small countries receive significant representative world affairs"
__label__science "With emphasis engineering bequeath elderly country left behind"
__label__society "The price progress high To extent unfeigned companionship"
__label__culture_and_traditions "Assess view traditional buildings bear future tense society"
__label__culture_and_traditions "Give axe belief supernatural sustained forward looking world"
__label__reading_fiction__stories "The book position mod fellowship Discuss"
__label__family_marriage_youth "It unmanageable live parent today Discus"
__label__history "Is study History progressively losing relevance today atomic number world"
__label__population_and_migration "Longer life expectancy creates problem benefit Discus"
__label__business_and_economics "How far possible see producers nutrient goods evenhandedly rewarded"
__label__economics "To extent pastime continuous economical growth suitable goal"
__label__technology "Energy advanced technology always improve quality people lives"
__label__security_issues__terrorism_security_privacy "Air locomote creates problems benefit Constitute fair remark"
__label__work_and_life "Practical ability exist equally important rational skills How far true society"
__label__medicine_medical_science_and_health "Scientific research health diet unreliable oft contradicts Is fair comment"
__label__education "The word failure never equal used education department Discuss"
__label__population_and_migration "Migrator inconvenient necessity Is truthful"
__label__religion "Can impression supernatural sustained modern world"
__label__technology "To extent applied science impact privacy security area"
__label__reading_fiction__stories "Nowadays pleasures reading tail compete pleasure visual amusement To extent agree"
__label__education "In bon ton effect schools fix new demands economy"
__label__mass_media "In digital years newspapers nevertheless role high society"
__label__tourism_and_transportation "Can channelize food concluded vast distances justified"
__label__advertising "There thing bad publicity To extent true"
__label__family_marriage_youth "Thither instantly greater need family How dead target society"
__label__energy_and_the_environment "Have gone far animal right wing"
__label__miscellaneous "To extent great unwashed judged physical appearance power"
__label__medicine_medical_science_and_health "Increase life anticipation perpetually desirable goal Do agree"
__label__globalisation "Migration monish embraced Saucer"
__label__mass_media "Assess impingement extraneous motion picture show foreign TV course study culture society"
__label__globalisation "Migration monish embraced Saucer"
__label__intervention_conflict_and_war "The prospect Third World Warfare immediately unthinkable Make agree"
__label__science "The technology advances school fall behind relevancy Be fairish comment"
__label__mathematics_and_statistics "Consider thought maths possesses non entirely truth supreme beauty"
__label__religion "Do think domain better place everyone hold religious belief"
__label__rights_injustices_and_fair_treatment "To extent fare society celebrate diversity"
__label__intervention_conflict_and_war "No movement ever worth dying Discus"
__label__leadership "A leader responsibility always country non early nations Discuss"
__label__leadership "A good drawing card must always look beyond indigence country Fare agree"
__label__family_marriage_youth "Children society victim parent dream Discus"
__label__singapore "Assess importance food within Singaporean culture"
__label__geography "Subject boundaries make little geographic economic sense nowadays Saucer"
__label__crime_and_punishment "How far criminal age determine nature penalty"
__label__mass_media "Assess impact foreign moving picture show strange boob tube programmes culture society"
__label__reflective "Strong threat always process better gentle persuasion What views"
__label__rights_injustices_and_fair_treatment "There nothing fear astir grow honest goodness governing equal paying increased attention needs elderly Be true society"
__label__crime_and_punishment "Should crimes committed many years ago forgotten"
__label__advertising "There live thing bad publicity To extent live true"
__label__security_issues__terrorism_security_privacy "Melody journey creates problems benefit Is fair scuttlebutt"
__label__religion "Discuss importance religion society today"
__label__reflective "Should always accept opportunities come fashion"
__label__leadership "Should politician pursue popular viewpoint article faith conflict"
__label__medicine_medical_science_and_health "The key fruit right health lifestyle rather medicate How far fit"
__label__history "Is sketch History increasingly irrelevant today siemens world"
__label__intervention_conflict_and_war "Act presence foreign mogul ever help country problems"
__label__history "History hold us rearward quite spurs us forward To extent true"
__label__society "Seat national indistinguishability ever forged multi cultural societies"
__label__technology "How far modern technology made unnecessary individuals possess numerical skill"
__label__gender "Consider view careers well suited unmatchable grammatical gender former"
__label__history "Is study Account progressively lose relevance today world"
__label__the_arts "Fare museum still role play order"
__label__science "To extent skill technology negative shock mass entropy values"
__label__family_marriage_youth "Take panorama good society sacrifice person"
__label__population_and_migration "Should countries migration today"
__label__language_and_writing "The world would equal better place everyone speak like language Discus"
__label__reflective "Promises broken What view"
__label__family_marriage_youth "The sideline money necessarily effect ungracious high society Discuss"
__label__history "Story carry atomic number back rather spur us forward To extent true"
__label__technology "How far acceptable technology apply simply financial benefit"
__label__intervention_conflict_and_war "How far potential country forgive another past actions"
__label__work_and_life "The family suffered expense calling Singaporean society Is fair scuttlebutt"
__label__singapore "How crucial sense history regulate future Singapore second society"
__label__reflective "Most non conformists merely attention seekers How true comprise order"
__label__singapore "How far needs minorities met modern Republic singapore"
__label__medicine_medical_science_and_health "How far medical resource used extend life expectancy"
__label__energy_and_the_environment "How far recycle answer trouble waste"
__label__leadership "The influential individuals account world health organization cause harm How far would accept opinion"
__label__intervention_conflict_and_war "How far possible one country forgive another information technology preceding military action"
__label__science "To extent acceptable private companies involved funding scientific research"
__label__reflective "How make explain society growing captivation super heroes Serve regard healthy operating theater harmful tendency"
__label__society "Kindness legislate What persuasion"
__label__education "Schools deliver always either neglected stifled entrepreneurship Should school change focus entrepreneurship"
__label__work_and_life "Consider view vocation better fit one gender"
__label__mathematics_and_statistics "Statistic measure everything prove nothing Discuss"
__label__crime_and_punishment "How far criminal age determine nature penalization"
__label__family_marriage_youth "There represent corking need family How rightful society"
__label__society "It impossible contain conflict within national borders today world Discuss"
__label__population_and_migration "To extent migration people accept positive core"
__label__family_marriage_youth "Parents cost main responsible children success failure life Scuttlebutt"
__label__singapore "To extent young Singapore favour disbursement older"
__label__rights_injustices_and_fair_treatment "Women always failure fight equation Comment"
__label__the_arts "Do jibe rich revalue Arts"
__label__culture_and_traditions "Manner equally much good affair bad thing To extent agree"
__label__family_marriage_youth "Be term spoilt generation fair description today young society"
__label__miscellaneous "Can humor ever serious"
__label__technology "To extent technology hold disconfirming shock acquirement levels people"
__label__energy_and_the_environment "Environmental fear economical growth co exist Serve agree"
__label__work_and_life "Consider view work days could make home plate"
__label__business_and_economics "How prepared societies today economical crisis"
__label__society "Examine role euphony establishing internal identity bon ton"
__label__rights_injustices_and_fair_treatment "There better time directly equal woman Comment"
__label__history "Story holds u back preferably spurs us forward To extent rightful"
__label__family_marriage_youth "Consider opinion goodness smart set sacrifice individual"
__label__family_marriage_youth "There never better time older guild Discuss"
__label__the_arts "To extent cultural heritage truly important society"
__label__science "Should rich country help poor countries scientific technological advancement"
__label__globalisation "To extent movement people across borders live cut back modern world"
__label__education "To extent privy education solve problem impoverishment"
__label__rights_injustices_and_fair_treatment "How far riddance prejudice naturalistic goal company"
__label__society "Only advanced architecture modern art place today world How dependable fellowship"
__label__the_arts "Unlike Arts writing music Math lacks capacitance creativity How far arrange agree argument"
__label__gender "Women volition enjoy right men Do agree"
__label__globalisation "Why countries thus reluctant cooperate tackle global environmental problems lav personify done solve problem"
__label__economics "How far physical features size placement determine nation sulphur progress"
__label__leadership "Dress events rather politicians work futurity"
__label__gender "Woman testament never love right men Do agree"
__label__advertising "There thing bad publicity To extent true"
__label__technology "Do handicrafts still value machine create goods pronto useable"
__label__business_and_economics "How far firms allowed throttle workers right earnings stake"
__label__governance "Consider view small countries wield real influence world affairs"
__label__gender "History records male acts written male holds small interestingness female resultant role Be fair comment"
__label__business_and_economics "Businesses always assay maximise profits cost Is position nevertheless applicable today"
__label__education "Didactics produces universe able read merely unable think Discuss"
__label__advertising "Advertisements often entertaining simply rarely affect consumer selection Is experience"
__label__rights_injustices_and_fair_treatment "Can club without elite group"
__label__mass_media "The media advertize sentience fear people unnecessary undesired Discus"
__label__miscellaneous "Far much attention given beauty products treatment Arrange agree"
__label__science "Having designer babies right Bash agree"
__label__history "Is History anything survey warfare"
__label__singapore "Many developed countries represent paying increase tending needs disadvantaged How far key Singapore"
__label__globalisation "Should poorer countries address environmental return basic needs people cost personify met"
__label__mass_media "To extent paper magazines read deal piddling sort cost important"
__label__the_arts "Would matter totally execute arts venue society concert halls theatres closed"
__label__intervention_conflict_and_war "The prospect Tertiary World War unthinkable Do agree"
__label__mass_media "The truth never hidden world Discus"
__label__business_and_economics "How far firms allow limit worker right profits stake"
__label__reflective "Should always admit opportunities come way"
__label__education "Only enlightened hoi polloi right vote elections What view"
__label__population_and_migration "Longer life history expectancy creates problems benefit Discuss"
__label__singapore "Do myths caption yet deliver role play Singapore"
__label__economics "Be point still place charity today macrocosm"
__label__science "In reality modern science technology hold brink disaster Brawl agree"
__label__the_arts "Picture taking give birth little artistic value today Is fair comment"
__label__society "Fame stay politics Comment"
__label__society "We shape building building forge us To extent true society"
__label__globalisation "Disease greatest threat facing mankind today To extent fit statement"
__label__history "Historical records questionable based much percept fact Comprise fair input"
__label__medicine_medical_science_and_health "Scientific enquiry health dieting unreliable often contradicts Is comely commentary"
__label__the_arts "Should celebrities comprise held higher standards moral behaviour"
__label__technology "Serve handicraft still value machine produced good personify readily available"
__label__globalisation "Consider view non enough address trouble human development"
__label__society "To extent sporting achievement given equal recognition society"
__label__science "How far government exercise control scientific maturation"
__label__history "Chronicle hold atomic number back rather spur us forward To extent true"
__label__advertising "Thither thing bad promotion To extent rightful"
__label__mathematics_and_statistics "How far feature mod technology made unnecessary individuals possess mathematical accomplishment"
__label__security_issues__terrorism_security_privacy "To extent technology take impact privacy security country"
__label__society "Kindness constitute legislated What position"
__label__technology "How far modern engineering science made unnecessary soul possess mathematical skills"
__label__work_and_life "Hard nosed ability every bit important intellectual skill How far key society"
__label__globalisation "Can little commonwealth ingest significant voice world affairs"
__label__medicine_medical_science_and_health "Scientific research health diet unreliable information technology ofttimes contradicts Be fair commentary"
__label__the_arts "Tradition make harm proficient To extent come agree statement"
__label__the_arts "Far little tending equal given Arts education today How true"
__label__history "Is cogitation Chronicle progressively losing relevance today world"
__label__singapore "Many highly developed countries paying increase tending needs disadvantaged How far true Singapore"
__label__education "Is lack pedagogy root cause criminal offense today"
__label__family_marriage_youth "The Golden Old age Is exact description ageing society"
__label__technology "To extent experience technology encroachment privacy security system country"
__label__globalisation "Can car form private shipping eliminated"
__label__globalisation "Is national identity still authoritative human beings suit increasingly globalised"
__label__crime_and_punishment "Is increase forte police military group best mode combat crime"
__label__gender "Consider persuasion career better suited one gender"
__label__gender "Women leave enjoy like rights men Do concord"
__label__technology "To extent technology negative encroachment acquirement layer people"
__label__leadership "Deal view social media accept influence politicians"
__label__intervention_conflict_and_war "Bottom minuscule countries significant voice world affairs"
__label__crime_and_punishment "Is increasing metier police force honest room combat criminal offence"
__label__intervention_conflict_and_war "Present greater levels external cooperation necessary information technology countries absorb arms trade"
__label__science "Engineering corrupted knockout language Is fair input"
__label__reading_fiction__stories "Tush fiction teach us anything meaningful real domain"
__label__governance "Near governance exist simply meeting demands people What serve think"
__label__religion "A world without religion volition better one Do harmonise"
__label__society "Festivals ritual still important role Is true gild"
__label__technology "To extent artificial intelligence supercede character humans"
__label__technology "Do handicrafts still get value machine produced goods pronto usable"
__label__security_issues__terrorism_security_privacy "Hosting major sporting events creates trouble benefit Do gibe"
__label__globalisation "International cooperation place competitive world Saucer"
__label__governance "Is alien interposition country affairs ever justified"
__label__mathematics_and_statistics "Discus scene much faith comprise placed statistics"
__label__economics "Should poorer state acquire holidaymaker industry basic needs people met"
__label__mass_media "Propaganda around us one knows verity longer Discuss"
__label__family_marriage_youth "Study view fault much grandness placed freedom reflection"
__label__energy_and_the_environment "Countries far pressing precedency protecting environment Ut agree"
__label__language_and_writing "The world would live better lieu everyone spoke linguistic communication Discus"
__label__crime_and_punishment "Rehabilitation punishment determination department justice organisation Saucer"
__label__singapore "Assess importance food within Singaporean civilization"
__label__family_marriage_youth "Parents right impose time value notion child Discuss"
__label__science "Advance medical science bring greater extent harm full Do agree"
__label__security_issues__terrorism_security_privacy "How far country right monitor actions masses within borders"
__label__geography "Subject boundaries pee pee little geographical economic sense today Discuss"
__label__mathematics_and_statistics "Consider view mathematics possesses solely truth simply sovereign beauty"
__label__population_and_migration "Longer life expectancy make problems benefits Discus"
__label__intervention_conflict_and_war "Is violence justified"
__label__science "Homo need kind earnings always main fear scientific enquiry Discuss"
__label__crime_and_punishment "How far information technology acceptable world mete jurist wrongdoing"
__label__family_marriage_youth "Children society victims parent ambitions Discus"
__label__mathematics_and_statistics "Consider opinion mathematics accuracy supreme beauty"
__label__history "Chronicle throw us back rather spurs states forward To extent true"
__label__family_marriage_youth "When government mho finances social upbeat circumscribe constitute directed towards immature old"
__label__society "The need disadvantaged well taken care today To extent straight society"
__label__governance "To extent constitute human rights authoritative people society"
__label__work_and_life "Instead speeding pace life equal slack What opine"
__label__society "Democracy non every country Discus"
__label__security_issues__terrorism_security_privacy "Can craft weapons time justified"
__label__security_issues__terrorism_security_privacy "How far department state right monitor actions people within edge"
__label__energy_and_the_environment "Should interest environmental causes embraced costs"
__label__tourism_and_transportation "Breeze travel make trouble benefit Is fair comment"
__label__population_and_migration "Should countries encourage migration today"
__label__medicine_medical_science_and_health "Should hoi polloi allowed give children contrived means"
__label__governance "To extent poor governance responsible increase insecurity many countries today"
__label__leadership "Equally long people public center job well weigh private"
__label__energy_and_the_environment "Discuss view given spheric vigour crisis today gullible doe embody solution"
__label__science "Skill unreliable comprise based much theory fact Comprise fair comment"
__label__science "Should extremely excited severely alarmed rapid progress fix fields robotics artificial intelligence information"
__label__advertising "Advertisements often entertaining seldom affect consumer selection Is experience"
__label__the_arts "Discuss call Singapore enough upgrade creativity among young people"
__label__history "History holds us back rather spur forward To extent true"
__label__gender "Evaluate claim par opportunity female desirable simply unrealistic destination"
__label__culture_and_traditions "Act myths legends still part play Singapore"
__label__the_arts "In guild place period learning foreign language"
__label__energy_and_the_environment "In social club intimately demands thriftiness environment balance"
__label__education "The watchword failure used education Discus"
__label__the_arts "Would information technology matter performing arts locale society concert halls house close"
__label__the_arts "Consider view purpose aesthetically please slight practical use"
__label__language_and_writing "A picture always powerful simple discussion What horizon"
__label__mass_media "Propaganda around u one sleep truth anymore Discus"
__label__sport "Individuals achieve lark achiever nation Discuss"
__label__globalisation "Nothing stake nothing gained How well discover attitude new people society today"
__label__mass_media "Is social media charge ignorance"
__label__reflective "Is friendly rivalry time possible"
__label__culture_and_traditions "Make handicrafts still note value machine produced goods indeed pronto available"
__label__religion "In modern world religion divides unify Discuss"
__label__the_arts "To extent arts guild focus local kinda foreign talent"
__label__reflective "Regard importance architecture city planning"
__label__geography "National boundaries make niggling geographical operating theatre economic sense nowadays Discus"
__label__the_arts "For majority people Nontextual matter irrelevant daily life How true society"
__label__energy_and_the_environment "Assess view natural disasters exist result human activity"
__label__history "History concur u back sooner spurs us forward To extent true"
__label__the_arts "Full treatment art remove state origin returned Discuss"
__label__the_arts "Ar certain oral communication superior others"
__label__education "Is education girl therapeutic poverty"
__label__mass_media "Propaganda around us one knows trueness longer Discus"
__label__the_arts "Clothes man Do accord position"
__label__science "Should science elementary focal point education country"
__label__energy_and_the_environment "Environmentalism needs heroes order successful Bash agree"
__label__mathematics_and_statistics "Consider view mathematics possesses exclusively trueness supreme mantrap"
__label__singapore "Was life vernal mass Singapore better past today"
__label__history "History hold us plump rather spur u forward To extent true"
__label__tourism_and_transportation "Can enthral food vast space justify"
__label__sport "The value sports overrated Personify true today"
__label__the_arts "Try theatrical role music establish national identity society"
__label__economics "Is excretion global impoverishment naturalistic aim"
__label__energy_and_the_environment "Line travel create problems benefit Is fair comment"
__label__the_arts "Contemporary music artistic value Is fairish remark"
__label__globalisation "To extent migration people positive gist"
__label__leadership "The influential person chronicle world health organization almost harm How far would accept view"
__label__family_marriage_youth "There represent bang need family How true fellowship"
__label__crime_and_punishment "How far individual held responsible crime human race"
__label__society "Canvas claim people society embody dependent government"
__label__medicine_medical_science_and_health "Increase life anticipation always desirable goal Do jibe"
__label__work_and_life "Mass today work hard come past How true society"
__label__culture_and_traditions "Assess impingement foreign films operating theatre foreign TV programmes culture club"
__label__reading_fiction__stories "Any adjustment novel film television system house never every bit effective original Discuss"
__label__globalisation "Disease greatest threat face mankind today To extent exercise agree financial statement"
__label__science "Scientific advancement form us less human Do consort"
__label__globalisation "Wherefore concerned current affairs shortly leave"
__label__globalisation "Discuss view connected humankind international issues must direct anteriority national matter"
__label__rights_injustices_and_fair_treatment "The view absolute majority constantly right Do agree"
__label__business_and_economics "Rich person multi national businesses positive negative impact society"
__label__leadership "As long multitude public eye job well information technology count practise private"
__label__culture_and_traditions "Do myth legends still role play Singapore island"
__label__family_marriage_youth "How far young hoi polloi today loyal rural area Discus reference society"
__label__singapore "How far magazines beaver state television programmes purport immature people Singapore positivist effect"
__label__technology "Do handicrafts still value motorcar bring goods readily uncommitted"
__label__energy_and_the_environment "Be information technology possible protect environment many countries require increasing amounts energy department progress"
__label__family_marriage_youth "To extent immature mass bon ton take interest politics"
__label__intervention_conflict_and_war "In times economic severeness country still exist expected provide fiscal material tending others"
__label__language_and_writing "The pen mightier brand Can write terminology really powerful"
__label__business_and_economics "To extent succeeder society measured economic increase"
__label__culture_and_traditions "Do handicrafts stock still accept value machine produced good readily available"
__label__culture_and_traditions "Rear belief supernatural sustained modern human race"
__label__reflective "Good character hinders success Discus"
__label__tourism_and_transportation "Can transport food huge distance justify"
__label__society "Festivals rite still important role Comprise true beau monde"
__label__energy_and_the_environment "How important carry plant animate coinage danger extinction"
__label__population_and_migration "How far butt prosperity uncontrolled population growth go hand hand"
__label__technology "Is new technology benefit scourge democracy"
__label__history "History halt us back sooner spurs us onward To extent true"
__label__intervention_conflict_and_war "Do presence extraneous power ever avail country problems"
__label__miscellaneous "Far much attention given beauty products treatments Do correspond"
__label__singapore "How far magazines television programme aim young people Capital singapore positive effect"
__label__globalisation "How far information technology important people mindful current events countries"
__label__globalisation "We miss role models world health organization inspire vernal make modification Comment"
__label__rights_injustices_and_fair_treatment "Everyone persuasion merely everyone impression equal economic value What view"
__label__intervention_conflict_and_war "How far potential state forgive another past actions"
__label__geography "How far coiffe physical feature article size location watch country forward motion"
__label__society "To extent look beyond interests company helping pathetic"
__label__culture_and_traditions "Do handicrafts still economic value machine produced goodness thus readily uncommitted"
__label__reading_fiction__stories "Present pleasures reading material never vie pleasures optic entertainment To extent check"
__label__governance "It unimaginable equilibrize item item right collective needs club To extent genuine"
__label__singapore "The tourist picture rural area habitant know How far honest Singapore"
__label__the_arts "Consider aspect art leave play significant role society"
__label__science "In world advanced science engineering endure brink disaster Do agree"
__label__science "Has technology take highly unplug world"
__label__reflective "Take danger essential part animation encouraged Discuss"
__label__language_and_writing "Think opinion spoken language important write form"
__label__sport "Are adopt sport seriously"
__label__reading_fiction__stories "Can fiction teach us anything meaningful astir veridical globe"
__label__language_and_writing "Exist economic value maintain minority languages world"
__label__medicine_medical_science_and_health "Increasing life expectancy forever desirable goal Do gibe"
__label__history "Story holds us back kinda spurs uranium forward To extent true"
__label__rights_injustices_and_fair_treatment "The view legal age always right Do match"
__label__technology "To extent technology negative wallop attainment levels people"
__label__science "Should receive resist mind robots replacing human beings workplace"
__label__medicine_medical_science_and_health "Longer life anticipation creates problems benefits Discus"
__label__technology "To extent technology impact secrecy security measure country"
__label__reflective "Uncertainty may inevitably high risk matter Discuss"
__label__reflective "At place nothing special mintage mankind exist merely slightly well informed chimpanzee Discuss"
__label__society "Assess view traditional buildings receive future society"
__label__population_and_migration "Longer lifetime expectancy creates problems benefit Discuss"
__label__advertising "Publicizing encourages desire products people non reality need Discuss"
__label__intervention_conflict_and_war "In times economical hardship country still follow expected provide financial surgery textile aid others"
__label__society "To extent sporting achievement given adequate credit society"
__label__science "Scientific research health dieting treacherous information technology often contradicts Be fair comment"
__label__education "Is education powerful dick apply make cosmos good place"
__label__sport "There room faint competitive sportswoman Comment"
__label__rights_injustices_and_fair_treatment "One let ane cake eat likewise See statement view issues faced women today"
__label__geography "How far physical features sizing location determine nation progress"
__label__work_and_life "Consider prospect careers well beseem one gender"
__label__miscellaneous "To extent people adjudicate physical appearance power"
__label__medicine_medical_science_and_health "How effectively public health promoted superintend society"
__label__reflective "The reward risk To extent masses res publica take risks"
__label__education "An appreciation music vital fully rounded didactics How genuine comprise society"
__label__energy_and_the_environment "Environmental conservation represent made compulsory Do agree"
__label__science "Advances medical science bring scathe honorable Do agree"
__label__language_and_writing "Consider view spoken speech import written physical body"
__label__governance "How far government follow involved individual lives masses"
__label__reflective "There opportunity every crisis Brawl consort"
__label__miscellaneous "Does travel offer anything escape reality"
__label__technology "To extent artificial intelligence replacing role man"
__label__mass_media "Cause local media still part society today"
__label__sport "Individuals achieve sporting succeeder non nation Discuss"
__label__language_and_writing "A picture incessantly powerful simple words What survey"
__label__crime_and_punishment "Too much attention embody give criminals non plenty victims Is genuine"
__label__medicine_medical_science_and_health "Should everyone expect donate suitable organs death"
__label__technology "To extent constitute artificial intelligence replacing part humans"
__label__energy_and_the_environment "Assess view attempts control climate change truly effective"
__label__governance "There place politics sport Ut agree"
__label__tourism_and_transportation "Should poorer countries develop tourist industry introductory needs mass embody met"
__label__medicine_medical_science_and_health "How far medical resources constitute used extend life expectancy"
__label__security_issues__terrorism_security_privacy "How far state give right monitor actions hoi polloi within borders"
__label__energy_and_the_environment "Should control production energy indigence information technology great"
__label__history "Is study Chronicle losing relevance today domain"
__label__education "Be lack education rootage cause crime today"
__label__mass_media "Censorship harm effect How far true today"
__label__medicine_medical_science_and_health "Hoi polloi comprise interested astir food eat information technology comes To extent agree"
__label__science "To extent new technologies enhance quality educational activity society"
__label__business_and_economics "To extent State need world business enterprise"
__label__reading_fiction__stories "Prat fiction teach uracil anything meaningful real world"
__label__energy_and_the_environment "Examine call world dependent crude oil"
__label__rights_injustices_and_fair_treatment "In society far follow equality completely reality"
__label__society "To extent look beyond interests society helping poor"
__label__the_arts "Music cipher former entertain Do fit"
__label__security_issues__terrorism_security_privacy "The scene Third Cosmos War unthinkable Do agree"
__label__business_and_economics "How far firm let limit workers rights profits stake"
__label__leadership "Should politicians quest popular viewpoint beaver state convictions conflict"
__label__history "Should crimes live devote many years ago simply personify forgotten"
__label__rights_injustices_and_fair_treatment "In society far equality reality"
__label__history "Account holds us punt rather spurs us frontward To extent rightful"
__label__governance "Is foreign interposition country affairs ever justify"
__label__advertising "There affair bad publicity To extent true"
__label__religion "Saucer importance religion society today"
__label__sport "Are professional athletes nothing mere entertainer"
__label__science "The engineering advancement schools lose relevancy Is comment"
__label__work_and_life "Mass well nigh worthwhile job rarely receive best financial rewards To extent equal true lodge"
__label__education "Learning beyond grades To extent realistic goal society"
__label__mass_media "Live social media blame ignorance"
__label__governance "How far society unpopular views open discussion"
__label__singapore "Was life young great unwashed Singapore better past today"
__label__governance "The fundamental measure good government well economy personify managed Be reasonable judgement"
__label__reading_fiction__stories "Behave book still feature future"
__label__economics "To extent pursuit uninterrupted economical ontogenesis desirable finish"
__label__energy_and_the_environment "How far follow recycling answer problem waste product"
__label__society "Security far greater extent important autonomy Discuss"
__label__advertising "Advertisements often entertaining seldom affect consumer option Represent experience"
__label__business_and_economics "How far potential secure producers nutrient goodness fairly rewarded"
__label__governance "How far society unpopular views constitute candid discussion"
__label__governance "There blank space politics summercater Do agree"
__label__miscellaneous "Far excessively much attending given beauty products treatments Do agree"
__label__rights_injustices_and_fair_treatment "Aging non lost young person new phase opportunity How far dependable elderly guild"
__label__the_arts "Do museum still make role play lodge"
__label__family_marriage_youth "Should fathers today remain home look child"
__label__singapore "The family suffer expense career Singaporean society Be fair comment"
__label__globalisation "The world today non give us intellect constitute affirmative future How far perform agree"
__label__reflective "To extent information technology true unmatched pursues happiness less happy one"
__label__the_arts "Music enjoyable fundamentally frivolous pursuit Represent comely comment"
__label__science "Should science main focus education country"
__label__reflective "There opportunity every crisis Doctor osteopathy agree"
